Year,Province,Grade,Male,Female,
2018,Balochistan,14,1292,35,
2018,Balochistan,13,32,,
2018,Balochistan,12,311,,
2018,Balochistan,11,1913,81,
2018,Balochistan,10,24,2,
2018,Balochistan,9,390,29,
2018,Balochistan,8,452,8,
2018,Balochistan,7,244,,
2018,Balochistan,6,2402,15,
2018,Balochistan,5,2239,35,
2018,Balochistan,4,961,4,
2018,Balochistan,3,294,5,
2018,Balochistan,2,3367,26,
2018,Balochistan,1,7417,106,
2018,Gilgit-Baltistan,20,1,,
2018,Gilgit-Baltistan,19,14,,
2018,Gilgit-Baltistan,18,31,1,
2018,Gilgit-Baltistan,17,62,5,
2018,Gilgit-Baltistan,16,108,6,
2018,Gilgit-Baltistan,15,76,4,
2018,Gilgit-Baltistan,13,92,10,
2018,Gilgit-Baltistan,11,31,,
2018,Gilgit-Baltistan,10,130,,
2018,Gilgit-Baltistan,8,17,,
2018,Gilgit-Baltistan,7,1,10,
2018,Gilgit-Baltistan,6,61,,
2018,Gilgit-Baltistan,5,1,,
2018,Gilgit-Baltistan,4,70,,
2018,Gilgit-Baltistan,3,33,,
2018,Gilgit-Baltistan,2,11,,
2018,Gilgit-Baltistan,1,118,,
2008-09,Federal,22,100,6,
2008-09,Federal,21,324,19,
2008-09,Federal,20,820,90,
2008-09,Federal,19,2159,389,
2008-09,Federal,18,4284,869,
2008-09,Federal,17,7768,2082,
2008-09,Federal,16,11575,3710,
2008-09,Federal,15,5006,243,
2008-09,Federal,14,22205,3260,
2008-09,Federal,13,3174,19,
2008-09,Federal,12,6596,171,
2008-09,Federal,11,9572,440,
2008-09,Federal,10,2850,78,
2008-09,Federal,9,21071,3034,
2008-09,Federal,8,8955,113,
2008-09,Federal,7,45519,1170,
2008-09,Federal,6,32561,62,
2008-09,Federal,5,138955,893,
2008-09,Federal,4,11456,173,
2008-09,Federal,3,14172,468,
2008-09,Federal,2,43068,1094,
2008-09,Federal,1,27820,617,
2009-10,Federal,22,95,6,
2009-10,Federal,21,373,33,
2009-10,Federal,20,976,103,
2009-10,Federal,19,2191,388,
2009-10,Federal,18,5330,961,
2009-10,Federal,17,8446,2334,
2009-10,Federal,16,16966,3595,
2009-10,Federal,15,5979,266,
2009-10,Federal,14,17734,3444,
2009-10,Federal,13,4091,21,
2009-10,Federal,12,6578,203,
2009-10,Federal,11,7054,497,
2009-10,Federal,10,3493,122,
2009-10,Federal,9,32892,4092,
2009-10,Federal,8,7958,113,
2009-10,Federal,7,44266,837,
2009-10,Federal,6,25124,110,
2009-10,Federal,5,142481,888,
2009-10,Federal,4,12268,278,
2009-10,Federal,3,17271,546,
2009-10,Federal,2,43431,1154,
2009-10,Federal,1,23834,1142,
2010-11,Federal,22,94,6,
2010-11,Federal,21,355,24,
2010-11,Federal,20,869,92,
2010-11,Federal,19,2174,397,
2010-11,Federal,18,4371,899,
2010-11,Federal,17,7482,2106,
2010-11,Federal,16,12306,3797,
2010-11,Federal,15,6019,274,
2010-11,Federal,14,22371,3392,
2010-11,Federal,13,2897,26,
2010-11,Federal,12,7618,203,
2010-11,Federal,11,7432,449,
2010-11,Federal,10,3382,114,
2010-11,Federal,9,32591,3746,
2010-11,Federal,8,8529,146,
2010-11,Federal,7,40804,834,
2010-11,Federal,6,31008,240,
2010-11,Federal,5,139534,848,
2010-11,Federal,4,12469,209,
2010-11,Federal,3,14484,582,
2010-11,Federal,2,42661,1225,
2010-11,Federal,1,27448,648,
2011-12,Federal,22,94,5,
2011-12,Federal,21,380,34,
2011-12,Federal,20,863,90,
2011-12,Federal,19,2278,404,
2011-12,Federal,18,5312,907,
2011-12,Federal,17,8114,1991,
2011-12,Federal,16,17877,4945,
2011-12,Federal,15,4866,239,
2011-12,Federal,14,19658,2830,
2011-12,Federal,13,3222,23,
2011-12,Federal,12,6777,277,
2011-12,Federal,11,7098,243,
2011-12,Federal,10,2317,58,
2011-12,Federal,9,33746,3217,
2011-12,Federal,8,12271,57,
2011-12,Federal,7,44907,936,
2011-12,Federal,6,37228,90,
2011-12,Federal,5,135943,1045,
2011-12,Federal,4,7393,39,
2011-12,Federal,3,14034,416,
2011-12,Federal,2,42947,1268,
2011-12,Federal,1,23842,880,
2014-15,Federal,22,69,8,
2014-15,Federal,21,344,50,
2014-15,Federal,20,977,107,
2014-15,Federal,19,2329,532,
2014-15,Federal,18,6080,1330,
2014-15,Federal,17,9232,3008,
2014-15,Federal,16,23312,4807,
2014-15,Federal,15,1231,75,
2014-15,Federal,14,19622,3124,
2014-15,Federal,13,2817,22,
2014-15,Federal,12,3061,139,
2014-15,Federal,11,8376,367,
2014-15,Federal,10,2013,58,
2014-15,Federal,9,34194,2323,
2014-15,Federal,8,10774,72,
2014-15,Federal,7,43673,1206,
2014-15,Federal,6,39979,96,
2014-15,Federal,5,119229,1087,
2014-15,Federal,4,12810,197,
2014-15,Federal,3,8505,525,
2014-15,Federal,2,42502,1407,
2014-15,Federal,1,26163,1089,
2015-16,Federal,22,85,11,
2015-16,Federal,21,409,48,
2015-16,Federal,20,1014,111,
2015-16,Federal,19,2313,501,
2015-16,Federal,18,5568,1303,
2015-16,Federal,17,9930,4040,
2015-16,Federal,16,22435,5295,
2015-16,Federal,15,1314,83,
2015-16,Federal,14,19828,3005,
2015-16,Federal,13,2808,26,
2015-16,Federal,12,3172,133,
2015-16,Federal,11,8578,385,
2015-16,Federal,10,1802,54,
2015-16,Federal,9,33934,2163,
2015-16,Federal,8,12091,85,
2015-16,Federal,7,46153,1272,
2015-16,Federal,6,41376,85,
2015-16,Federal,5,126566,1248,
2015-16,Federal,4,11123,52,
2015-16,Federal,3,13845,1141,
2015-16,Federal,2,40724,1003,
2015-16,Federal,1,26151,1254,
2016-17,Federal,22,94,11,
2016-17,Federal,21,372,40,
2016-17,Federal,20,976,116,
2016-17,Federal,19,2507,549,
2016-17,Federal,18,6160,1357,
2016-17,Federal,17,11560,4116,
2016-17,Federal,16,28733,5548,
2016-17,Federal,15,1954,117,
2016-17,Federal,14,23120,3372,
2016-17,Federal,13,3268,27,
2016-17,Federal,12,4043,263,
2016-17,Federal,11,16005,1460,
2016-17,Federal,10,4219,64,
2016-17,Federal,9,38379,2481,
2016-17,Federal,8,14089,199,
2016-17,Federal,7,53849,1935,
2016-17,Federal,6,59361,217,
2016-17,Federal,5,124198,1899,
2016-17,Federal,4,22728,431,
2016-17,Federal,3,11267,1060,
2016-17,Federal,2,53842,2351,
2016-17,Federal,1,58548,3668,
2017-18,Federal,22,84,12,
2017-18,Federal,21,350,39,
2017-18,Federal,20,1020,130,
2017-18,Federal,19,2499,527,
2017-18,Federal,18,6417,1362,
2017-18,Federal,17,12198,4299,
2017-18,Federal,16,31130,6396,
2017-18,Federal,15,3206,212,
2017-18,Federal,14,19489,3168,
2017-18,Federal,13,3077,25,
2017-18,Federal,12,4144,271,
2017-18,Federal,11,22558,1774,
2017-18,Federal,10,3762,52,
2017-18,Federal,9,39772,2600,
2017-18,Federal,8,14067,124,
2017-18,Federal,7,48728,1569,
2017-18,Federal,6,59535,226,
2017-18,Federal,5,123296,2069,
2017-18,Federal,4,22676,426,
2017-18,Federal,3,9408,583,
2017-18,Federal,2,53052,2387,
2017-18,Federal,1,68438,4083,
