Year,Province,Grade,Male,Female,
2011,Balochistan,8,489,266,
2011,Balochistan,9,1067,5,
2011,Balochistan,10,5,0,
2011,Balochistan,11,704,275,
2011,Balochistan,12,414,12,
2011,Balochistan,13,24,0,
2011,Balochistan,14,762,6,
2011,Balochistan,15,141,1,
2011,Balochistan,16,558,71,
2011,Balochistan,17,1363,79,
2011,Balochistan,18,211,15,
2011,Balochistan,19,81,2,
2011,Balochistan,20,29,0,
2011,Balochistan,21,3,0,
2011,Gilgit-Baltistan,1,199,1,
2011,Gilgit-Baltistan,2,479,0,
2011,Gilgit-Baltistan,3,23,0,
2011,Gilgit-Baltistan,4,51,0,
2011,Gilgit-Baltistan,5,4445,132,
2011,Gilgit-Baltistan,6,120,3,
2011,Gilgit-Baltistan,7,768,14,
2011,Gilgit-Baltistan,8,2,0,
2011,Gilgit-Baltistan,9,297,19,
2011,Gilgit-Baltistan,10,3,0,
2011,Gilgit-Baltistan,11,39,0,
2011,Gilgit-Baltistan,12,54,0,
2011,Gilgit-Baltistan,14,244,4,
2011,Gilgit-Baltistan,15,30,0,
2011,Gilgit-Baltistan,16,125,1,
2011,Gilgit-Baltistan,17,165,4,
2011,Gilgit-Baltistan,18,49,1,
2011,Gilgit-Baltistan,19,17,0,
2011,Gilgit-Baltistan,20,4,0,
2011,Gilgit-Baltistan,21,1,0,
2012,Punjab,1,8990,511,
2012,Punjab,2,5505,469,
2012,Punjab,3,1741,148,
2012,Punjab,4,1902,803,
2012,Punjab,5,3327,56,
2012,Punjab,6,2349,50,
2012,Punjab,7,3017,116,
2012,Punjab,8,858,15,
2012,Punjab,9,2857,595,
2012,Punjab,10,187,5,
2012,Punjab,11,2374,68,
2012,Punjab,12,955,115,
2012,Punjab,13,188,4,
2012,Punjab,14,1379,90,
2012,Punjab,15,613,15,
2012,Punjab,16,1355,2474,
2012,Punjab,17,4405,1322,
2012,Punjab,18,2096,485,
2012,Punjab,19,1053,223,
2012,Punjab,20,290,48,
2012,Punjab,21,214,2,
2012,Punjab,22,4,0,
2012,Sindh,1,117,1,
2012,Sindh,2,589,77,
2012,Sindh,3,3,0,
2012,Sindh,4,3,0,
2012,Sindh,5,72,0,
2012,Sindh,6,8,0,
2012,Sindh,7,34,0,
2012,Sindh,8,5,0,
2012,Sindh,9,3,0,
2012,Sindh,10,3,0,
2012,Sindh,11,13,0,
2012,Sindh,12,1,0,
2012,Sindh,14,11,0,
2012,Sindh,15,1,0,
2012,Sindh,16,4,0,
2012,Sindh,17,1,0,
2012,KPK,1,"26,622","1,122",
2012,KPK,2,"40,091","2,269",
2012,KPK,3,"4,870",813,
2012,KPK,4,"1,959",81,
2012,KPK,5,"50,438",826,
2012,KPK,6,"1,525",80,
2012,KPK,7,"16,590","1,063",
2012,KPK,8,176,264,
