TIMESTAMP,A,B,C
2022032101,0,208,0
2022032103,0,225,0
2022032104,0,223,0
2022032104,0,221,0
2022032105,0,221,0
2022032105,0,221,0
2022032106,0,223,0
2022032106,0,218,0
2022032107,0,216,0
2022032108,0,210,0
2022032108,0,214,0
2022032109,0,212,0
2022032110,0,208,0
2022032110,0,210,0
2022032110,0,212,0
2022032111,0,208,0
2022032111,0,208,0
2022032111,0,212,0
2022032111,0,208,0
2022032113,0,204,0
2022032114,0,204,0
2022032115,0,204,0
2022032118,0,208,0
2022040201,0,242,0
2022040201,0,242,0
2022040201,0,238,0
2022040201,0,236,0
2022040201,0,231,0
2022040201,0,227,0
2022040202,0,221,0
2022040202,0,221,0
2022040202,0,218,0
2022040202,0,214,0
2022040202,0,214,0
2022040202,0,212,0
2022040203,0,208,0
2022040203,0,212,0
2022040203,0,210,0
2022040203,0,208,0
2022040203,0,204,0
2022040203,0,208,0
2022040208,0,227,0
2022040208,0,229,0
2022040208,0,227,0
2022040208,0,227,0
2022040209,0,227,0
2022040209,0,223,0
2022040209,0,229,0
2022040209,0,227,0
2022040209,0,227,0
2022040209,0,223,0
2022040210,0,225,0
2022040210,0,225,0
2022040210,0,231,0
2022040210,0,229,0
2022040210,0,227,0
2022040210,0,229,0
2022040211,0,225,0
2022040211,0,227,0
2022040216,0,236,0
2022040217,0,233,0
2022040217,0,233,0
2022040217,0,236,0
2022040217,0,236,0
2022040217,0,236,0
2022040217,0,238,0
2022040218,0,240,0
2022040218,0,236,0
2022040218,0,236,0
2022040218,0,236,0
2022040218,0,238,0
2022040218,0,238,0
2022040219,0,238,0
2022040219,0,242,0
2022040219,0,240,0
2022040219,0,240,0
2022040219,0,238,0
2022040219,0,236,0
2022040220,0,240,0
2022040220,0,240,0
2022040220,0,236,0
2022040220,0,242,0
2022040303,0,248,0
2022040303,0,242,0
2022040303,0,244,0
2022040303,0,242,0
2022040304,0,242,0
2022040304,0,242,0
2022040304,0,242,0
2022040304,0,242,0
2022040304,0,244,0
2022040304,0,246,0
2022040305,0,242,0
2022040305,0,246,0
2022040305,0,242,0
2022040305,0,244,0
2022040305,0,246,0
2022040305,0,248,0
2022040306,0,242,0
2022040306,0,246,0
2022040306,0,244,0
2022040306,0,242,0
2022040306,0,244,0
2022040306,0,244,0
2022040307,0,242,0
2022040307,0,242,0
2022040307,0,240,0
2022041209,0,250,0
2022041210,0,248,0
2022041210,0,248,0
2022041210,0,248,0
2022041210,0,250,0
2022041210,0,250,0
2022041210,0,250,0
2022041211,0,248,0
2022041211,0,250,0
2022041211,0,248,0
2022041211,0,250,0
2022041211,0,248,0
2022041211,0,250,0
2022041212,0,248,0
2022041212,0,250,0
2022041212,0,248,0
2022041212,0,248,0
2022041212,0,246,0
2022041212,0,250,0
2022041213,0,248,0
