Open,High,Low,Close,Volume
194.1,194.97,191.23,191.94,"71,951,680"
195.09,196.47,192.5,193.13,"59,581,199"
193.1,198.23,192.65,195.1,"80,507,320"
193.35,194.33,192.42,193.73,"48,353,770"
191.9,194.32,191.81,193.99,"50,520,160"
190.23,191.18,189.63,190.69,"41,616,238"
190.5,191.19,189.78,190.54,"41,342,340"
189.68,191.7,188.47,189.77,"60,750,246"
189.16,189.3,186.6,188.08,"46,638,121"
189.26,189.99,187.04,188.61,"59,922,160"
191.41,192.67,190.24,190.68,"46,815,000"
189.84,192.02,189.2,191.81,"45,156,008"
191.57,192.98,190.62,191.33,"46,920,262"
193.78,193.88,191.76,192.46,"31,346,600"
191.63,194.48,191.26,193.97,"85,213,219"
189.08,190.07,188.94,189.59,"46,347,312"
187.93,189.9,187.6,189.25,"51,216,801"
185.89,188.39,185.67,188.06,"50,730,848"
186.83,188.05,185.23,185.27,"48,088,660"
185.55,187.56,185.01,186.68,"53,117,000"
183.74,187.05,183.67,187.0,"51,245,328"
184.9,185.41,182.59,183.96,"49,515,699"
184.41,186.1,184.41,185.01,"49,799,090"
186.73,186.99,184.27,184.92,"101,256,203"
183.96,186.52,183.78,186.01,"65,433,168"
183.37,184.39,182.02,183.95,"57,462,879"
182.8,184.15,182.44,183.31,"54,929,129"
181.27,183.89,180.97,183.79,"54,755,000"
181.5,182.23,180.63,180.96,"48,899,969"
177.9,180.84,177.46,180.57,"50,214,879"
178.44,181.21,177.32,177.82,"61,944,621"
179.97,180.12,177.43,179.21,"64,848,367"
182.63,184.95,178.04,179.58,"121,946,492"
181.03,181.78,179.26,180.95,"61,996,910"
177.7,180.12,176.93,180.09,"68,901,805"
177.33,179.35,176.76,177.25,"99,625,289"
176.96,178.99,176.57,177.3,"55,964,398"
173.32,175.77,173.11,175.43,"54,834,980"
172.41,173.9,171.69,172.99,"56,058,262"
171.09,172.42,170.52,171.84,"45,143,488"
173.13,173.38,171.28,171.56,"50,747,262"
173.98,174.71,173.45,174.2,"43,570,930"
176.39,176.39,174.94,175.16,"55,809,480"
173.0,175.24,172.58,175.05,"65,496,660"
171.71,172.93,170.42,172.69,"57,951,602"
171.99,173.14,171.8,172.07,"42,110,289"
173.16,173.21,171.47,172.07,"37,266,660"
173.62,174.06,171.0,172.57,"45,533,141"
173.85,174.59,172.17,173.75,"49,514,680"
173.02,174.03,171.9,173.56,"53,724,500"
173.05,173.54,171.6,171.77,"45,326,871"
172.48,173.85,172.11,173.5,"55,962,793"
170.98,174.3,170.76,173.57,"113,453,203"
164.89,167.04,164.31,165.79,"81,235,430"
169.5,170.92,167.16,167.45,"65,136,020"
170.09,170.35,167.54,168.54,"48,425,699"
169.28,170.45,168.64,169.59,"52,472,941"
168.49,169.85,167.88,169.68,"55,275,848"
165.19,168.56,165.19,168.41,"64,902,328"
163.06,165.28,162.8,163.76,"45,498,801"
165.19,166.31,163.73,163.77,"48,714,059"
165.0,165.6,163.89,165.33,"41,949,578"
165.05,166.45,164.49,165.02,"58,337,340"
166.09,167.87,165.56,166.65,"52,456,379"
165.8,168.16,165.54,167.63,"47,720,168"
166.1,167.41,165.65,166.47,"49,923,008"
165.09,165.39,164.03,165.23,"41,516,219"
164.59,166.32,163.82,165.21,"49,386,480"
161.63,165.8,161.42,165.56,"68,445,648"
161.22,162.06,159.78,160.1,"50,133,059"
162.35,162.36,160.51,160.8,"47,644,219"
161.42,162.03,160.08,162.03,"47,716,879"
162.43,164.96,162.0,164.66,"45,390,121"
164.74,165.05,161.8,163.76,"51,511,738"
166.6,166.84,165.11,165.63,"46,278,301"
164.27,166.29,164.22,166.17,"56,976,191"
162.44,165.0,161.91,164.9,"68,749,789"
161.53,162.47,161.27,162.36,"49,501,688"
159.37,161.05,159.35,160.77,"51,305,688"
157.97,158.49,155.98,157.65,"45,992,152"
159.94,160.77,157.87,158.28,"52,390,273"
158.86,160.34,157.85,160.25,"59,256,340"
158.83,161.55,157.68,158.93,"67,622,062"
159.3,162.14,157.81,157.83,"75,701,805"
157.32,159.4,156.54,159.28,"73,938,289"
155.07,157.82,154.15,157.4,"73,641,422"
156.08,156.74,154.28,155.0,"98,944,633"
152.16,156.46,151.64,155.85,"76,254,414"
151.19,153.25,149.92,152.99,"77,167,875"
151.28,153.4,150.1,152.59,"73,695,891"
147.81,153.14,147.7,150.47,"84,457,117"
150.21,150.94,147.61,148.5,"68,572,398"
153.56,154.54,150.23,150.59,"53,833,578"
152.81,153.47,151.83,152.87,"47,204,793"
153.7,154.03,151.13,151.6,"56,182,031"
153.79,156.3,153.46,153.83,"87,558,031"
148.05,151.11,147.33,151.03,"70,732,305"
144.38,146.71,143.9,145.91,"52,279,762"
146.83,147.23,145.01,145.31,"55,478,992"
147.05,149.08,146.83,147.41,"50,547,000"
147.71,149.17,147.45,147.92,"44,998,473"
147.11,147.19,145.72,146.71,"55,469,609"
150.09,150.34,147.24,149.4,"48,394,246"
148.87,149.95,147.16,148.91,"51,011,312"
150.2,151.3,148.41,148.48,"58,867,230"
152.35,153.0,150.85,152.55,"59,144,121"
153.51,156.33,153.35,153.71,"68,167,938"
153.11,155.5,152.88,155.33,"65,669,250"
152.12,153.77,150.86,153.2,"61,707,566"
150.95,154.26,150.92,153.85,"62,199,008"
149.46,151.34,149.22,151.01,"57,450,711"
153.78,154.33,150.42,150.87,"56,007,141"
153.88,154.58,151.17,151.92,"64,120,078"
150.64,155.23,150.64,154.65,"83,322,555"
152.58,153.1,150.78,151.73,"69,858,312"
148.03,157.38,147.83,154.5,"154,357,297"
148.9,151.18,148.17,150.82,"118,339,000"
143.97,146.61,141.32,145.43,"77,663,633"
142.7,144.34,142.28,144.29,"65,874,461"
144.96,145.55,142.85,143.0,"64,015,273"
